,id,city
0,JPN,681
1,IDN,132
2,IND,433
3,PHL,1532
4,CHN,1497
5,BRA,3370
6,KOR,69
7,MEX,1025
8,EGY,108
9,USA,7823
10,RUS,1486
11,THA,392
12,ARG,384
13,BGD,18
14,NGA,77
15,TUR,195
16,PAK,108
17,IRN,222
18,COD,88
19,VNM,79
20,FRA,2016
21,GBR,1813
22,PER,103
23,COL,470
24,AGO,60
25,MYS,34
26,HKG,0
27,SDN,38
28,CHL,166
29,SAU,41
30,TZA,63
31,ESP,1034
32,IRQ,42
33,SGP,0
34,KEN,62
35,MMR,40
36,CAN,624
37,AUS,357
38,CIV,25
39,ZAF,105
40,MAR,697
41,JOR,13
42,AFG,44
43,DEU,2623
44,DZA,153
45,BOL,82
46,ETH,44
47,KWT,4
48,UKR,508
49,YEM,41
50,ITA,2123
51,PRK,36
52,TWN,31
53,ECU,78
54,MDG,28
55,DOM,44
56,ARE,8
57,GTM,188
58,CMR,35
59,UZB,57
60,GHA,24
61,AZE,94
62,ZWE,25
63,CUB,84
64,KHM,26
65,SOM,28
66,MLI,30
67,BLR,87
68,VEN,93
69,SYR,105
70,KAZ,118
71,AUT,236
72,MWI,28
73,ROU,366
74,PRY,42
75,COG,17
76,POL,268
77,BEL,218
78,HUN,265
79,ZMB,34
80,GIN,28
81,UGA,130
82,BFA,32
83,NZL,72
84,OMN,16
85,NLD,380
86,MNG,26
87,SRB,151
88,BGR,139
89,CZE,272
90,URY,54
91,QAT,7
92,HND,37
93,MOZ,40
94,SEN,19
95,IRL,40
96,RWA,15
97,LBY,41
98,GEO,40
99,TCD,28
100,MRT,21
101,TUN,86
102,KGZ,36
103,TKM,23
104,NER,68
105,NIC,45
106,LBR,16
107,HTI,14
108,NPL,37
109,SWE,50
110,ERI,14
111,SLE,5
112,ISR,74
113,CAF,24
114,PAN,19
115,TGO,8
116,GAB,18
117,HRV,53
118,TJK,16
119,BEN,12
120,LAO,19
121,LKA,21
122,NOR,154
123,GRC,131
124,BDI,18
125,FIN,212
126,MKD,76
127,MDA,80
128,LVA,113
129,DNK,11
130,JAM,17
131,LTU,60
132,SLV,76
133,DJI,5
134,PRT,232
135,EST,24
136,SVK,133
137,ALB,51
138,LBN,11
139,GNB,10
140,SSD,16
141,PNG,27
142,LSO,10
143,CYP,19
144,NAM,30
145,CRI,19
146,SVN,211
147,BIH,31
148,BHS,2
149,MTQ,0
150,BWA,26
151,SUR,13
152,TLS,12
153,XKS,48
154,GUY,11
155,GNQ,13
156,GIB,0
157,REU,1
158,MDV,20
159,MNE,23
160,BHR,3
161,MUS,5
162,CUW,0
163,CHE,350
164,PYF,0
165,ISL,12
166,CPV,22
167,LUX,15
168,BRB,0
169,COM,4
170,BTN,19
171,SWZ,8
172,NCL,2
173,SLB,8
174,FJI,7
175,LCA,1
176,GUF,6
177,STP,6
178,VUT,5
179,BMU,0
180,BRN,9
181,MCO,0
182,TTO,17
183,WSM,11
184,IMN,0
185,ABW,1
186,JEY,0
187,LIE,10
188,GMB,8
189,MYT,0
190,MHL,0
191,KIR,1
192,CYM,0
193,SYC,0
194,VCT,0
195,ATG,0
196,TON,1
197,AND,6
198,GRL,21
199,BLZ,8
200,DMA,0
201,KNA,0
202,FRO,28
203,ASM,0
204,MLT,67
205,XGZ,0
206,TCA,0
207,FSM,4
208,TUV,0
209,COK,0
210,GRD,0
211,SMR,8
212,XWB,0
213,MNP,0
214,GLP,2
215,FLK,0
216,VAT,0
217,NIU,0
218,GUM,1
219,SHN,2
220,MAF,0
221,SXM,0
222,VGB,0
223,BLM,0
224,SPM,0
225,AIA,0
226,WLF,1
227,NFK,0
228,PLW,2
229,ESH,0
230,XSV,0
231,PCN,0
232,CXR,0
233,MAC,0
234,PRI,55
235,SGS,0
