,Unnamed: 0,coordinates,created_at,place,retweet_count,text,user_friends_count,country_id
156166,156166,"-122.2721,37.8029",Thu Jul 23 06:21:19 +0000 2020,"Oakland, CA",0,"True story...
Breathe
🖤
#vsteams
#yonisteams
#yonibathteas
#bodyscrubs
#bathmilk
#sip
#covid19
#c19
#coronavirus @ Oakland, California https://t.co/oP27PpNdIE",121.0,USA
163948,163948,"-118.28296,33.79783",Sun Jul 19 23:03:18 +0000 2020,"Los Angeles, CA",0,"Go time ain’t even the word. After dropping my songs + music videos for “BIG Mad” and “West Newgrove” in January and February, the COVID19 and Police pandemics hit us in March so i was driven to provide my usual… https://t.co/Ui9hFilEvY",475.0,USA
208663,208663,"-97.03243652,32.96381858",Wed Jun 24 04:03:51 +0000 2020,"Grapevine, TX",2,"God thing. 🤍 Just a few months ago my voice was really roughed up from overuse and me running myself into the ground physically. During the lockdown, I was processing a lot and feeling sickeningly stuck. I decided to… https://t.co/zwjsPEtXBx",382.0,USA
44441,44441,"-4.2337879,55.86209169",Thu Apr 23 20:35:49 +0000 2020,"Glasgow, Scotland",0,Evening Walk from Glasgow Central to Glasgow Necropolis and back to Glasgow Queen Street 🏃‍♂️👟🍃🌳 #Glasgow #Scotland #CoronaVirus #COVID-19 #Lockdown #GlasgowNecropolis @ Glasgow Necropolis https://t.co/tt2QH18Bbm,2674.0,GBR
640,640,"126.44268036,37.46368606",Fri Nov 27 01:21:12 +0000 2020,"Ongjin-gun, Republic of Korea",0,"Topics of discussion: golf, cold weather, military service, Covid etc...🤣🇰🇷⛳📰🏌️‍♂️#koreangolfnews #kpgatour #golf #kpga #instagolf #golfing #media #korea @ Seoul, South Korea - 서울 https://t.co/zRN4HvTwdg",1.0,KOR
16732,16732,"106.8233,-6.1803",Sun Nov 08 16:25:48 +0000 2020,"Tanah Abang, Indonesia",0,".
Weekend is over, my friends.
.
People wearing protective masks walk at a shopping mall as the coronavirus disease (COVID-19) outbreak continues in Jakarta, Indonesia, November 8, 2020. REUTERS/Willy Kurniawan https://t.co/47Dk6tvl6Z",1864.0,IDN
40811,40811,"-118.243,34.0522",Sat Apr 04 20:49:23 +0000 2020,"Los Angeles, CA",0,"Spring, Summer, Fall, &amp; Winter look for 2020! #covid2020 #corona #coronavirus #thisis2020
#normal #epidemic #quaratine #stayathome #LA #California #LosAngeles #covid19 #pandemic #pandemic2020 @ Los Angeles, California https://t.co/7w7wT7CVw5",188.0,USA
111412,111412,"-77.5820908,35.262204",Wed Dec 02 20:47:19 +0000 2020,"Kinston, NC",0,State Auditor releases finding of COVID spending by NC Dept. Of Public Instruction  https://t.co/KIHzE0DduQ  @KristyDBock,96.0,USA
192410,192410,"-86.1582,39.7692",Tue Jul 21 02:05:16 +0000 2020,"Indianapolis, IN",0,"Pretty much sums up people these days 

#covid19 
#wearamask @ Indianapolis, Indiana https://t.co/jCeKhYSPbm",552.0,USA
215521,215521,"-123.11549122,49.27083915",Fri Jun 19 22:14:42 +0000 2020,"Vancouver, British Columbia",0,"Go outside 🐛 
But please, remembering Social Distancing 👣 @ False Creek Seawall https://t.co/NNoH1qgebq",256.0,CAN
25404,25404,"-73.47935661,45.6677507",Thu Oct 08 08:40:31 +0000 2020,"Varennes, Québec",0,Fighting Stigma : Coronavirus Ireland: 611 new cases with 218 in Dublin and five deaths: Coronavirus Ireland: 611 new cases with 218 in Dublin and five deaths ... Would you let your child/children go trick or treating if Halloween was to go ... https://t.co/ojW6VeAh9A,1306.0,CAN
223924,223924,"-74.0064,40.7142",Wed Jun 17 21:17:30 +0000 2020,"Manhattan, NY",0,"First time to the Big Apple #NYC But cannot take a bite of it. Thanks #covid19 #nofilter @humansatsea @Anish_MI @ New York, New York https://t.co/wLzOZQzwNS",793.0,USA
95097,95097,"-87.632496,41.883222",Thu May 21 16:24:01 +0000 2020,"Chicago, IL",0,"Thursdays are for day-drinking and baking! 🍷🍪
.
.
.
#daydrinking #baking #chocolatechipcookies #fathersdaygift #streetcargifts #wine #shiraz #apron #cookiedough #quarantinelife #covid19 #keepingbusy @ Chicago, Illinois https://t.co/mIpY0sU85j",1304.0,USA
121432,121432,"-79.030979,43.889151",Sat Jan 02 14:01:13 +0000 2021,"Ajax, Ontario",0,"Weekly Virtual #COVID19 #Seniors Program for ages 55+ to connect &amp; stay healthy starting Thursday January 7 - March 25, 2021 1pm. Registration open at https://t.co/u5rDYlbV01. #nutrition, #yoga, #fitness &amp; more. https://t.co/OIQlchya1I #seniorshealth #ontarioseniors #townofajax https://t.co/NxHq8VJuH7",4955.0,CAN
232519,232519,"-122.34777778,37.93583333",Fri Jun 19 02:41:12 +0000 2020,"Richmond, CA",0,"Croque Madame kind of night (sub turkey for ham and cheddar for gruyère because we are still in #quarantine).  
//
Also, the cops who murdered Breonna Taylor are still free *and being paid*. Donate to… https://t.co/Ufqv7zvwI6",627.0,USA
243968,243968,"-73.56725453,45.75975883",Wed Aug 26 07:53:33 +0000 2020,"Mascouche, Québec",0,"Fighting Stigma: (Coronavirus, Restrictions) Regulations (Northern Ireland) 2020: The Health Protection (Coronavirus, Restrictions) Regulations (Northern Ireland) 2020 (revoked). You are here: Northern Ireland Statutory Rules · 2020 ... https://t.co/hz3y35XJK7",1306.0,CAN
28407,28407,"51.56461,25.26044481",Fri Oct 02 20:59:00 +0000 2020,"Doha, Qatar",0,"🤓😅

#FaceShield #Ironman #TonyStark #MarvelComics #Marvel #MCU #MarvelCinematicUniverse #Maldivian #Superman #DCComics #DC #FaceMask #Perth #Qatar #Maldives #QatarAirways #WearAMask @ Doha International Airport https://t.co/qnMCokEaHF",586.0,QAT
